action_type,new_id,old_id,new_date,old_date,new_open,old_open,new_high,old_high,new_low,old_low,new_close,old_close,new_volume,old_volume,new_inserted_at,old_inserted_at
UPDATE,4,4,03/09/2024,03/09/2024,228.55,228.55,229,229,221.17,221.17,222.77,222.77,50190574,50190574,04/09/2024 12:31,04/09/2024 10:44
UPDATE,5,5,30/08/2024,30/08/2024,230.19,230.19,230.4,230.4,227.48,227.48,229,229,52990770,52990770,04/09/2024 12:31,04/09/2024 10:44
UPDATE,6,6,29/08/2024,29/08/2024,230.1,230.1,232.92,232.92,228.88,228.88,229.79,229.79,51906297,51906297,04/09/2024 12:31,04/09/2024 10:44
UPDATE,7,7,28/08/2024,28/08/2024,227.92,227.92,229.86,229.86,225.68,225.68,226.49,226.49,38052167,38052167,04/09/2024 12:31,04/09/2024 10:44
UPDATE,8,8,27/08/2024,27/08/2024,225.995,225.995,228.85,228.85,224.89,224.89,228.03,228.03,35934559,35934559,04/09/2024 12:31,04/09/2024 10:44
UPDATE,9,9,26/08/2024,26/08/2024,226.76,226.76,227.28,227.28,223.8905,223.8905,227.18,227.18,30602208,30602208,04/09/2024 12:31,04/09/2024 10:44
UPDATE,10,10,23/08/2024,23/08/2024,225.6589,225.6589,228.22,228.22,224.33,224.33,226.84,226.84,38677250,38677250,04/09/2024 12:31,04/09/2024 10:44
UPDATE,11,11,22/08/2024,22/08/2024,227.79,227.79,228.34,228.34,223.9,223.9,224.53,224.53,43695321,43695321,04/09/2024 12:31,04/09/2024 10:44
UPDATE,12,12,21/08/2024,21/08/2024,226.52,226.52,227.98,227.98,225.05,225.05,226.4,226.4,34765480,34765480,04/09/2024 12:31,04/09/2024 10:44
UPDATE,13,13,20/08/2024,20/08/2024,225.77,225.77,227.17,227.17,225.45,225.45,226.51,226.51,30299033,30299033,04/09/2024 12:31,04/09/2024 10:44
UPDATE,14,14,19/08/2024,19/08/2024,225.72,225.72,225.99,225.99,223.04,223.04,225.89,225.89,40687813,40687813,04/09/2024 12:31,04/09/2024 10:44
UPDATE,15,15,16/08/2024,16/08/2024,223.92,223.92,226.8271,226.8271,223.6501,223.6501,226.05,226.05,44340240,44340240,04/09/2024 12:31,04/09/2024 10:44
UPDATE,16,16,15/08/2024,15/08/2024,224.6,224.6,225.35,225.35,222.76,222.76,224.72,224.72,46414013,46414013,04/09/2024 12:31,04/09/2024 10:44
UPDATE,17,17,14/08/2024,14/08/2024,220.57,220.57,223.03,223.03,219.7,219.7,221.72,221.72,41960574,41960574,04/09/2024 12:31,04/09/2024 10:44
UPDATE,18,18,13/08/2024,13/08/2024,219.01,219.01,221.89,221.89,219.01,219.01,221.27,221.27,44155331,44155331,04/09/2024 12:31,04/09/2024 10:44
UPDATE,19,19,12/08/2024,12/08/2024,216.07,216.07,219.5099,219.5099,215.6,215.6,217.53,217.53,38028092,38028092,04/09/2024 12:31,04/09/2024 10:44
UPDATE,20,20,09/08/2024,09/08/2024,212.1,212.1,216.78,216.78,211.97,211.97,216.24,216.24,42201646,42201646,04/09/2024 12:31,04/09/2024 10:44
UPDATE,21,21,08/08/2024,08/08/2024,213.11,213.11,214.2,214.2,208.83,208.83,213.31,213.31,47161149,47161149,04/09/2024 12:31,04/09/2024 10:44
UPDATE,22,22,07/08/2024,07/08/2024,206.9,206.9,213.64,213.64,206.39,206.39,209.82,209.82,63516417,63516417,04/09/2024 12:31,04/09/2024 10:44
UPDATE,23,23,06/08/2024,06/08/2024,205.3,205.3,209.99,209.99,201.07,201.07,207.23,207.23,69660488,69660488,04/09/2024 12:31,04/09/2024 10:44
UPDATE,24,24,05/08/2024,05/08/2024,199.09,199.09,213.5,213.5,196,196,209.27,209.27,119548589,119548589,04/09/2024 12:31,04/09/2024 10:44
UPDATE,25,25,02/08/2024,02/08/2024,219.15,219.15,225.6,225.6,217.71,217.71,219.86,219.86,105568560,105568560,04/09/2024 12:31,04/09/2024 10:44
UPDATE,26,26,01/08/2024,01/08/2024,224.37,224.37,224.48,224.48,217.02,217.02,218.36,218.36,62500996,62500996,04/09/2024 12:31,04/09/2024 10:44
UPDATE,27,27,31/07/2024,31/07/2024,221.44,221.44,223.82,223.82,220.63,220.63,222.08,222.08,50036262,50036262,04/09/2024 12:31,04/09/2024 10:44
UPDATE,28,28,30/07/2024,30/07/2024,219.19,219.19,220.325,220.325,216.12,216.12,218.8,218.8,41643840,41643840,04/09/2024 12:31,04/09/2024 10:44
UPDATE,29,29,29/07/2024,29/07/2024,216.96,216.96,219.3,219.3,215.75,215.75,218.24,218.24,36311778,36311778,04/09/2024 12:31,04/09/2024 10:44
UPDATE,30,30,26/07/2024,26/07/2024,218.7,218.7,219.49,219.49,216.01,216.01,217.96,217.96,41601345,41601345,04/09/2024 12:31,04/09/2024 10:44
UPDATE,31,31,25/07/2024,25/07/2024,218.93,218.93,220.85,220.85,214.62,214.62,217.49,217.49,51391199,51391199,04/09/2024 12:31,04/09/2024 10:44
UPDATE,32,32,24/07/2024,24/07/2024,224,224,224.8,224.8,217.13,217.13,218.54,218.54,61777576,61777576,04/09/2024 12:31,04/09/2024 10:44
UPDATE,33,33,23/07/2024,23/07/2024,224.365,224.365,226.94,226.94,222.68,222.68,225.01,225.01,39960260,39960260,04/09/2024 12:31,04/09/2024 10:44
UPDATE,34,34,22/07/2024,22/07/2024,227.01,227.01,227.78,227.78,223.09,223.09,223.96,223.96,48201835,48201835,04/09/2024 12:31,04/09/2024 10:44
UPDATE,35,35,19/07/2024,19/07/2024,224.82,224.82,226.8,226.8,223.275,223.275,224.31,224.31,49151453,49151453,04/09/2024 12:31,04/09/2024 10:44
UPDATE,36,36,18/07/2024,18/07/2024,230.28,230.28,230.44,230.44,222.27,222.27,224.18,224.18,66034585,66034585,04/09/2024 12:31,04/09/2024 10:44
UPDATE,37,37,17/07/2024,17/07/2024,229.45,229.45,231.4599,231.4599,226.64,226.64,228.88,228.88,57345884,57345884,04/09/2024 12:31,04/09/2024 10:44
UPDATE,38,38,16/07/2024,16/07/2024,235,235,236.27,236.27,232.33,232.33,234.82,234.82,43234278,43234278,04/09/2024 12:31,04/09/2024 10:44
UPDATE,39,39,15/07/2024,15/07/2024,236.48,236.48,237.23,237.23,233.09,233.09,234.4,234.4,62631252,62631252,04/09/2024 12:31,04/09/2024 10:44
UPDATE,40,40,12/07/2024,12/07/2024,228.92,228.92,232.64,232.64,228.68,228.68,230.54,230.54,53046527,53046527,04/09/2024 12:31,04/09/2024 10:44
UPDATE,41,41,11/07/2024,11/07/2024,231.39,231.39,232.39,232.39,225.77,225.77,227.57,227.57,64710617,64710617,04/09/2024 12:31,04/09/2024 10:44
UPDATE,42,42,10/07/2024,10/07/2024,229.3,229.3,233.08,233.08,229.25,229.25,232.98,232.98,62627687,62627687,04/09/2024 12:31,04/09/2024 10:44
UPDATE,43,43,09/07/2024,09/07/2024,227.93,227.93,229.4,229.4,226.3721,226.3721,228.68,228.68,48169822,48169822,04/09/2024 12:31,04/09/2024 10:44
UPDATE,44,44,08/07/2024,08/07/2024,227.09,227.09,227.85,227.85,223.25,223.25,227.82,227.82,59085861,59085861,04/09/2024 12:31,04/09/2024 10:44
UPDATE,45,45,05/07/2024,05/07/2024,221.65,221.65,226.45,226.45,221.65,221.65,226.34,226.34,60412408,60412408,04/09/2024 12:31,04/09/2024 10:44
UPDATE,46,46,03/07/2024,03/07/2024,220,220,221.55,221.55,219.03,219.03,221.55,221.55,37369801,37369801,04/09/2024 12:31,04/09/2024 10:44
UPDATE,47,47,02/07/2024,02/07/2024,216.15,216.15,220.38,220.38,215.1,215.1,220.27,220.27,58046178,58046178,04/09/2024 12:31,04/09/2024 10:44
UPDATE,48,48,01/07/2024,01/07/2024,212.09,212.09,217.51,217.51,211.92,211.92,216.75,216.75,60402929,60402929,04/09/2024 12:31,04/09/2024 10:44
UPDATE,49,49,28/06/2024,28/06/2024,215.77,215.77,216.07,216.07,210.3,210.3,210.62,210.62,82542718,82542718,04/09/2024 12:31,04/09/2024 10:44
UPDATE,50,50,27/06/2024,27/06/2024,214.69,214.69,215.7395,215.7395,212.35,212.35,214.1,214.1,49772707,49772707,04/09/2024 12:31,04/09/2024 10:44
UPDATE,51,51,26/06/2024,26/06/2024,211.5,211.5,214.86,214.86,210.64,210.64,213.25,213.25,66213186,66213186,04/09/2024 12:31,04/09/2024 10:44
UPDATE,52,52,25/06/2024,25/06/2024,209.15,209.15,211.38,211.38,208.61,208.61,209.07,209.07,56713868,56713868,04/09/2024 12:31,04/09/2024 10:44
UPDATE,53,53,24/06/2024,24/06/2024,207.72,207.72,212.7,212.7,206.59,206.59,208.14,208.14,80727006,80727006,04/09/2024 12:31,04/09/2024 10:44
UPDATE,54,54,21/06/2024,21/06/2024,210.39,210.39,211.89,211.89,207.11,207.11,207.49,207.49,246421353,246421353,04/09/2024 12:31,04/09/2024 10:44
UPDATE,55,55,20/06/2024,20/06/2024,213.93,213.93,214.24,214.24,208.85,208.85,209.68,209.68,86172451,86172451,04/09/2024 12:31,04/09/2024 10:44
UPDATE,56,56,18/06/2024,18/06/2024,217.59,217.59,218.63,218.63,213,213,214.29,214.29,79943254,79943254,04/09/2024 12:31,04/09/2024 10:44
UPDATE,57,57,17/06/2024,17/06/2024,213.37,213.37,218.95,218.95,212.72,212.72,216.67,216.67,93728300,93728300,04/09/2024 12:31,04/09/2024 10:44
UPDATE,58,58,14/06/2024,14/06/2024,213.85,213.85,215.17,215.17,211.3,211.3,212.49,212.49,70122748,70122748,04/09/2024 12:31,04/09/2024 10:44
UPDATE,59,59,13/06/2024,13/06/2024,214.74,214.74,216.75,216.75,211.6,211.6,214.24,214.24,97862729,97862729,04/09/2024 12:31,04/09/2024 10:44
UPDATE,60,60,12/06/2024,12/06/2024,207.37,207.37,220.2,220.2,206.9,206.9,213.07,213.07,198134293,198134293,04/09/2024 12:31,04/09/2024 10:44
UPDATE,61,61,11/06/2024,11/06/2024,193.65,193.65,207.16,207.16,193.63,193.63,207.15,207.15,172373296,172373296,04/09/2024 12:31,04/09/2024 10:44
UPDATE,62,62,10/06/2024,10/06/2024,196.9,196.9,197.3,197.3,192.15,192.15,193.12,193.12,97262077,97262077,04/09/2024 12:31,04/09/2024 10:44
UPDATE,63,63,07/06/2024,07/06/2024,194.65,194.65,196.94,196.94,194.14,194.14,196.89,196.89,53103912,53103912,04/09/2024 12:31,04/09/2024 10:44
UPDATE,64,64,06/06/2024,06/06/2024,195.685,195.685,196.5,196.5,194.17,194.17,194.48,194.48,41181753,41181753,04/09/2024 12:31,04/09/2024 10:44
UPDATE,65,65,05/06/2024,05/06/2024,195.4,195.4,196.9,196.9,194.87,194.87,195.87,195.87,54156785,54156785,04/09/2024 12:31,04/09/2024 10:44
UPDATE,66,66,04/06/2024,04/06/2024,194.635,194.635,195.32,195.32,193.0342,193.0342,194.35,194.35,47471445,47471445,04/09/2024 12:31,04/09/2024 10:44
UPDATE,67,67,03/06/2024,03/06/2024,192.9,192.9,194.99,194.99,192.52,192.52,194.03,194.03,50080539,50080539,04/09/2024 12:31,04/09/2024 10:44
UPDATE,68,68,31/05/2024,31/05/2024,191.44,191.44,192.57,192.57,189.91,189.91,192.25,192.25,75158277,75158277,04/09/2024 12:31,04/09/2024 10:44
UPDATE,69,69,30/05/2024,30/05/2024,190.76,190.76,192.18,192.18,190.63,190.63,191.29,191.29,49947941,49947941,04/09/2024 12:31,04/09/2024 10:44
UPDATE,70,70,29/05/2024,29/05/2024,189.61,189.61,192.247,192.247,189.51,189.51,190.29,190.29,53068016,53068016,04/09/2024 12:31,04/09/2024 10:44
UPDATE,71,71,28/05/2024,28/05/2024,191.51,191.51,193,193,189.1,189.1,189.99,189.99,52280051,52280051,04/09/2024 12:31,04/09/2024 10:44
UPDATE,72,72,24/05/2024,24/05/2024,188.82,188.82,190.58,190.58,188.0404,188.0404,189.98,189.98,36326975,36326975,04/09/2024 12:31,04/09/2024 10:44
UPDATE,73,73,23/05/2024,23/05/2024,190.98,190.98,191,191,186.625,186.625,186.88,186.88,51005924,51005924,04/09/2024 12:31,04/09/2024 10:44
UPDATE,74,74,22/05/2024,22/05/2024,192.265,192.265,192.8231,192.8231,190.27,190.27,190.9,190.9,34648547,34648547,04/09/2024 12:31,04/09/2024 10:44
UPDATE,75,75,21/05/2024,21/05/2024,191.09,191.09,192.73,192.73,190.9201,190.9201,192.35,192.35,42309401,42309401,04/09/2024 12:31,04/09/2024 10:44
UPDATE,76,76,20/05/2024,20/05/2024,189.325,189.325,191.9199,191.9199,189.01,189.01,191.04,191.04,44361275,44361275,04/09/2024 12:31,04/09/2024 10:44
UPDATE,77,77,17/05/2024,17/05/2024,189.51,189.51,190.81,190.81,189.18,189.18,189.87,189.87,41282925,41282925,04/09/2024 12:31,04/09/2024 10:44
UPDATE,78,78,16/05/2024,16/05/2024,190.47,190.47,191.095,191.095,189.6601,189.6601,189.84,189.84,52845230,52845230,04/09/2024 12:31,04/09/2024 10:44
UPDATE,79,79,15/05/2024,15/05/2024,187.91,187.91,190.65,190.65,187.37,187.37,189.72,189.72,70399988,70399988,04/09/2024 12:31,04/09/2024 10:44
UPDATE,80,80,14/05/2024,14/05/2024,187.51,187.51,188.3,188.3,186.29,186.29,187.43,187.43,52393619,52393619,04/09/2024 12:31,04/09/2024 10:44
UPDATE,81,81,13/05/2024,13/05/2024,185.435,185.435,187.1,187.1,184.62,184.62,186.28,186.28,72044809,72044809,04/09/2024 12:31,04/09/2024 10:44
UPDATE,82,82,10/05/2024,10/05/2024,184.9,184.9,185.09,185.09,182.13,182.13,183.05,183.05,50759496,50759496,04/09/2024 12:31,04/09/2024 10:44
UPDATE,83,83,09/05/2024,09/05/2024,182.56,182.56,184.66,184.66,182.11,182.11,184.57,184.57,48982972,48982972,04/09/2024 12:31,04/09/2024 10:44
UPDATE,84,84,08/05/2024,08/05/2024,182.85,182.85,183.07,183.07,181.45,181.45,182.74,182.74,45057087,45057087,04/09/2024 12:31,04/09/2024 10:44
UPDATE,85,85,07/05/2024,07/05/2024,183.45,183.45,184.9,184.9,181.32,181.32,182.4,182.4,77305771,77305771,04/09/2024 12:31,04/09/2024 10:44
UPDATE,86,86,06/05/2024,06/05/2024,182.354,182.354,184.2,184.2,180.42,180.42,181.71,181.71,78569667,78569667,04/09/2024 12:31,04/09/2024 10:44
UPDATE,87,87,03/05/2024,03/05/2024,186.645,186.645,187,187,182.66,182.66,183.38,183.38,163224109,163224109,04/09/2024 12:31,04/09/2024 10:44
UPDATE,88,88,02/05/2024,02/05/2024,172.51,172.51,173.415,173.415,170.89,170.89,173.03,173.03,94214915,94214915,04/09/2024 12:31,04/09/2024 10:44
UPDATE,89,89,01/05/2024,01/05/2024,169.58,169.58,172.705,172.705,169.11,169.11,169.3,169.3,50383147,50383147,04/09/2024 12:31,04/09/2024 10:44
UPDATE,90,90,30/04/2024,30/04/2024,173.33,173.33,174.99,174.99,170,170,170.33,170.33,65934776,65934776,04/09/2024 12:31,04/09/2024 10:44
UPDATE,91,91,29/04/2024,29/04/2024,173.37,173.37,176.03,176.03,173.1,173.1,173.5,173.5,68169419,68169419,04/09/2024 12:31,04/09/2024 10:44
UPDATE,92,92,26/04/2024,26/04/2024,169.88,169.88,171.34,171.34,169.18,169.18,169.3,169.3,44838354,44838354,04/09/2024 12:31,04/09/2024 10:44
UPDATE,93,93,25/04/2024,25/04/2024,169.525,169.525,170.61,170.61,168.1511,168.1511,169.89,169.89,50558329,50558329,04/09/2024 12:31,04/09/2024 10:44
UPDATE,94,94,24/04/2024,24/04/2024,166.54,166.54,169.3,169.3,166.21,166.21,169.02,169.02,48251835,48251835,04/09/2024 12:31,04/09/2024 10:44
UPDATE,95,95,23/04/2024,23/04/2024,165.35,165.35,167.05,167.05,164.92,164.92,166.9,166.9,49537761,49537761,04/09/2024 12:31,04/09/2024 10:44
UPDATE,96,96,22/04/2024,22/04/2024,165.515,165.515,167.26,167.26,164.77,164.77,165.84,165.84,48116443,48116443,04/09/2024 12:31,04/09/2024 10:44
UPDATE,97,97,19/04/2024,19/04/2024,166.21,166.21,166.4,166.4,164.075,164.075,165,165,68149377,68149377,04/09/2024 12:31,04/09/2024 10:44
UPDATE,98,98,18/04/2024,18/04/2024,168.03,168.03,168.64,168.64,166.55,166.55,167.04,167.04,43122903,43122903,04/09/2024 12:31,04/09/2024 10:44
UPDATE,99,99,17/04/2024,17/04/2024,169.61,169.61,170.65,170.65,168,168,168,168,50901210,50901210,04/09/2024 12:31,04/09/2024 10:44
UPDATE,100,100,16/04/2024,16/04/2024,171.75,171.75,173.76,173.76,168.27,168.27,169.38,169.38,73711235,73711235,04/09/2024 12:31,04/09/2024 10:44
UPDATE,101,101,15/04/2024,15/04/2024,175.36,175.36,176.63,176.63,172.5,172.5,172.69,172.69,73531773,73531773,04/09/2024 12:31,04/09/2024 10:44
UPDATE,102,102,12/04/2024,12/04/2024,174.26,174.26,178.36,178.36,174.21,174.21,176.55,176.55,101670886,101670886,04/09/2024 12:31,04/09/2024 10:44
UPDATE,103,103,11/04/2024,11/04/2024,168.34,168.34,175.46,175.46,168.16,168.16,175.04,175.04,91070275,91070275,04/09/2024 12:31,04/09/2024 10:44